,C1,C2,C3,C4,C5
L1,0.3225806451612903,0.3870967741935484,0.3870967741935484,0.3870967741935484,0.45161290322580644
L2,0.3225806451612903,0.22580645161290322,0.3870967741935484,0.25806451612903225,0.5161290322580645
L3,0.41935483870967744,0.25806451612903225,0.22580645161290322,0.41935483870967744,0.1935483870967742
L4,0.12903225806451613,0.2903225806451613,0.1935483870967742,0.2903225806451613,0.4838709677419355
L5,0.1935483870967742,0.25806451612903225,0.22580645161290322,0.3548387096774194,0.41935483870967744
